Index,EAFE,GSCI,NAREIT,SP500,US10YR
1971-12-31,117.415,144.75,101.2204,111.62,100
1972-01-31,124.253,144.35,102.1816,114.71,99.00984253
1972-02-29,132.409,146.26,102.4396,115.66,99.87974585
1972-03-31,136.776,150.54,102.7006,116.44,99.79160772
1972-04-30,140.059,154.06,101.153,118.74,100.1530947
1972-05-31,144.615,158.14,101.16,116.43,101.3342437
1972-06-30,140.785,156.71,104.0177,116.98,101.0968339
1972-07-31,148.39,166.07,102.8384,121.29,101.83923
1972-08-31,150.05,178.64,105.8875,120.99,100.130314
1972-09-30,145.169,176.83,108.9015,122.42,99.79444559
1972-10-31,146.706,183.79,111.2127,128.32,101.2849659
1972-11-30,156.375,198.49,111.1925,130.14,102.7925216
1972-12-31,161.561,205.27,111.5731,128.2,102.355389
1973-01-31,164.348,214.17,104.3915,123.68,101.9369596
1973-02-28,177.943,209.07,106.0512,123.78,101.7564724
1973-03-31,179.071,221.69,101.937,119.04,101.6609626
1973-04-30,169.046,262.12,97.8248,117.11,102.4507255
1973-05-31,173.165,257.68,98.7217,116.64,101.3435789
1973-06-30,177.458,324.09,100.8666,121.38,101.8566526
1973-07-31,175.28,332.06,94.2776,117.24,98.96832964
1973-08-31,166.387,315.38,101.6748,122.25,100.8323651
1973-09-30,165.286,298.56,102.9218,122.45,103.9598654
1973-10-31,168.861,314.19,88.4833,108.87,105.9793308
1973-11-30,144.578,347.27,80.9296,111.02,106.7246301
1973-12-31,138.673,386.02,83.4418,110.23,105.7203409
1974-01-31,139.62,383.97,87.2566,110.15,105.5772452
1974-02-28,144.271,339.78,84.0502,107.89,106.1181493
1974-03-31,140.555,343.54,73.7677,104.02,103.7779498
1974-04-30,144.349,320.3,69.5952,100.88,102.6296181
1974-05-31,138.737,360.07,63.1992,99.73,104.2817934
1974-06-30,132.476,445.88,62.1874,92.33,104.0715562
1974-07-31,125.79,424.01,51.0338,84.36,102.9581809
1974-08-31,112.856,475.31,52.7555,74.64,102.1039822
1974-09-30,104.696,518.09,57.4484,87.19,103.9762351
1974-10-31,105.654,528.17,51.4296,82.93,105.7335519
1974-11-30,109.043,484.49,46.7517,81.64,107.5146401
1974-12-31,107.96,408.74,61.1572,92.02,109.9993932
1975-01-31,127.257,366.18,58.3383,97.89,109.6858445
1975-02-28,144.063,397.12,63.5579,100.38,110.9083596
1975-03-31,142.545,378.8,60.1148,105.49,107.4561243
1975-04-30,149.308,373.11,62.1589,110.52,106.013364
1975-05-31,148.207,379.26,66.1275,115.79,108.6883987
1975-06-30,142.461,408.96,66.2798,108.34,110.0082922
1975-07-31,136.615,448.24,65.3221,106.43,108.9603627
1975-08-31,136.433,453.35,60.3252,103.11,109.558328
1975-09-30,130.25,416.9,59.4963,109.85,108.4143375
1975-10-31,141.505,411.82,60.3347,112.95,113.3948922
1975-11-30,144.882,401.05,63.7397,112.03,112.3816747
1975-12-31,148.016,381.86,73.0285,125.67,116.0758978
1976-01-31,155.855,403.7,75.8838,124.61,116.5083222
1976-02-29,154.68,404.53,75.209,128.81,117.5054848
1976-03-31,152.083,420.1,75.7567,127.81,119.1576967
1976-04-30,151.399,427.7,74.2492,126.39,119.8361842
1976-05-31,147.312,420.56,75.275,131.99,118.2373037
1976-06-30,149.792,383.33,77.6142,131.36,119.8297664
1976-07-31,148.046,372.55,79.9105,131.12,120.6146514
1976-08-31,148.146,335.73,82.5808,134.5,123.0682213
1976-09-30,145.602,331.59,83.6161,132,124.7919628
1976-10-31,136.324,336.32,87.2392,131.46,126.7079309
1976-11-30,138.006,353.23,94.9554,138.84,131.1800419
1976-12-31,153.551,352.29,96.6758,132.27,133.8261497
1977-01-31,152.66,351.42,96.2348,129.86,129.0769612
1977-02-28,156.049,364.21,96.58,128.5,129.4236755
1977-03-31,156.558,383.26,100.1092,129.03,130.4978245
1977-04-30,161.153,370.1,98.9791,126.5,131.0322126
1977-05-31,160.507,361.14,104.0307,132.75,132.4862025
1977-06-30,164.115,330.39,107.4802,131.1,134.979789
1977-07-31,161.667,333.63,108.6597,128.85,133.7197435
1977-08-31,168.83,345.8,106.9658,129.05,135.8597305
1977-09-30,173.87,355.75,105.7744,124.02,135.4522836
1977-10-31,178.249,370.87,112.8167,127.94,134.3236016
1977-11-30,176.773,389.86,113.0696,128.9,135.8281651
1977-12-31,183.378,402.43,109.4378,121.5,134.5398525
1978-01-31,185.78,408.77,110.682,119.04,133.9459965
1978-02-28,187.965,450.97,114.952,122.54,133.9240197
1978-03-31,201.713,460.66,115.5646,133.59,133.8272374
1978-04-30,200.31,495.79,113.5246,134.82,133.9266196
1978-05-31,204.467,449.49,113.2464,132.96,133.2387555
1978-06-30,213.757,461.74,116.1884,140.72,132.4122007
1978-07-31,232.444,474.34,121.0955,144.95,133.8898961
1978-08-31,237.232,501.02,122.7455,144.49,136.3647482
1978-09-30,244.38,506.05,109.8135,131.89,135.7817855
1978-10-31,258.529,519.15,110.5009,134.72,133.2129424
1978-11-30,234.568,513.08,111.2146,137.37,135.0789959
1978-12-31,246.278,550.09,119.7198,143.46,133.5458562
1979-01-31,247.841,582.29,119.4618,138.85,136.304482
1979-02-28,246.604,571.95,128.9624,147.13,135.3856724
1979-03-31,252.371,606.17,130.9121,148.06,136.9458866
